x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826488,43133.24935924902,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89669.57954550514,43132.8145162914,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89669.33274274542,43132.37967333379,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89669.08593998569,43131.94483037617,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89668.83913722596,43131.50998741855,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89668.59233446623,43131.07514446093,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89668.34553170651,43130.640301503314,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89668.10603200152,43130.20145401615,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,1.5
89667.87208814132,43129.75956005797,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,1.5
89667.6381442811,43129.3176660998,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,1.5
89667.40420042089,43128.875772141626,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,1.5
89667.17025656068,43128.43387818345,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,1.5
89666.93631270046,43127.99198422528,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,1.5
89666.67712496014,43127.56473679592,0.0,0.0,0.0,-0.8760856354219352,0.48215553445682235,1.5
89666.40959891955,43127.14232725814,0.0,0.0,0.0,-0.8760856354219352,0.48215553445682235,1.5
89666.14207287897,43126.719917720366,0.0,0.0,0.0,-0.8760856354219352,0.48215553445682235,1.5
89665.87454683837,43126.297508182586,0.0,0.0,0.0,-0.8760856354219352,0.48215553445682235,1.5
89665.60702079778,43125.875098644814,0.0,0.0,0.0,-0.8760856354219352,0.48215553445682235,1.5
89665.34467826954,43125.449520285496,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5
89665.09068575957,43125.01883733381,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5
89664.8366932496,43124.588154382116,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5
89664.58270073963,43124.15747143042,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5
89664.32870822964,43123.726788478736,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5
89664.07471571967,43123.29610552704,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5
89663.8207232097,43122.86542257535,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5
89663.47061739478,43122.53162958915,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,1.5
89663.03790425204,43122.281111453885,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,1.5
89662.6051911093,43122.03059331862,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,1.5
89662.17247796655,43121.78007518334,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,1.5
89661.73976482381,43121.529557048074,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,1.5
89661.30705168107,43121.279038912806,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,1.5
89660.87433853833,43121.02852077754,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,1.5
89660.45375908581,43120.75823806967,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,1.5
89660.03453727766,43120.48574389437,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,1.5
89659.6153154695,43120.213249719076,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,1.5
89659.19609366136,43119.94075554378,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,1.5
89658.7768718532,43119.66826136848,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,1.5
89658.35765004506,43119.395767193186,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,1.5
89657.9384282369,43119.12327301789,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,1.5
89657.50363786513,43118.87725066077,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89657.06174390696,43118.643306800564,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89656.61984994878,43118.40936294035,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89656.17795599061,43118.175419080144,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
