s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
59.9216117,89615.4804681,43152.5396168,2.0904545,-0.0220931,12.8116726,-8.2971093
60.9304160,89614.9795126,43153.4152478,2.0604865,-0.0297065,12.1474513,-7.5860738
61.9323272,89614.5082612,43154.2994130,2.2596860,0.1988195,11.5066461,-6.9636016
63.1111707,89613.7588934,43155.2094240,2.2488750,-0.0091709,10.8852650,-6.4154791
64.2813086,89613.0248684,43156.1207033,2.1618988,-0.0743298,10.2796051,-5.4737947
65.4079268,89612.3970302,43157.0561646,1.9959031,-0.1473398,9.7330950,-4.5187266
66.5081260,89611.9432882,43158.0584402,1.8193673,-0.1604580,9.2576623,-3.9002874
67.6126457,89611.6715552,43159.1290125,1.6275541,-0.1736621,8.8267310,-3.7078705
68.6739162,89611.6113522,43160.1885740,1.3697582,-0.2429126,8.3965777,-4.5420110
69.6834607,89611.8129448,43161.1777861,1.1798351,-0.1881275,7.8375483,-3.2705711
70.7889543,89612.2342233,43162.1998627,1.1314672,-0.0437524,7.4089314,-0.2549199
72.0156207,89612.7559643,43163.3100414,0.8889476,-0.1977062,7.3744770,-0.2549199
73.1178240,89613.4506053,43164.1658019,0.5872876,-0.2736882,7.3398609,0.0962443
74.1830302,89614.3373326,43164.7560381,0.4782377,-0.1023745,7.3529493,-1.7106526
75.1547423,89615.2000258,43165.2032349,0.5286158,0.0518447,7.1167284,-0.2352087
76.1688303,89616.0756969,43165.7146786,0.3019146,-0.2235518,7.0836329,-0.2352087
77.1659242,89617.0276911,43166.0111632,0.1384669,-0.1639241,7.0503820,3.8747872
78.1747430,89618.0268543,43166.1504053,0.0036343,-0.1336540,7.5795821,4.2681960
79.1371057,89618.9892106,43166.1539028,-0.1592119,-0.1692149,8.1227034,0.0643603
80.1023367,89619.9422339,43166.0008750,-0.3204890,-0.1670866,8.1306154,0.6607222
81.1353573,89620.9226546,43165.6754418,-0.4282962,-0.1043611,8.2114000,4.7596003
82.0947180,89621.7953608,43165.2769987,-0.5084585,-0.0835580,8.7713857,4.9393568
83.1224570,89622.6930867,43164.7766632,-0.5914522,-0.0807538,9.3170002,4.7498031
84.1596644,89623.5541056,43164.1983504,-0.6875287,-0.0926300,9.8131051,2.1921135
85.1870437,89624.3480815,43163.5463454,-0.7820178,-0.0919709,10.0337967,2.0782995
86.1822984,89625.0542078,43162.8449770,-0.8649706,-0.0833483,10.2386380,2.6569595
87.1590527,89625.6877917,43162.1015926,-0.9347190,-0.0714083,10.4946918,3.7323425
88.1569579,89626.2805918,43161.2988456,-0.9925349,-0.0579373,10.8441743,4.6302586
89.1555854,89626.8264105,43160.4625808,-1.0378093,-0.0453367,11.2626727,4.7054010
90.1524664,89627.3329340,43159.6039740,-1.0710175,-0.0333120,11.6726011,4.6613299
91.1509463,89627.8114370,43158.7276196,-1.0975184,-0.0265413,12.0649649,4.6176717
92.1497037,89628.2666770,43157.8386466,-1.1195094,-0.0220184,12.4414592,4.5744223
93.1488960,89628.7024487,43156.9394869,-1.1371093,-0.0176141,12.8035160,4.5315780
94.1473978,89629.1220385,43156.0334238,-1.1515007,-0.0144130,13.1523583,4.4891350
95.1463383,89629.5287244,43155.1210156,-1.1632615,-0.0117733,13.4890411,4.4470895
96.1459368,89629.9249125,43154.2032836,-1.1724001,-0.0091422,13.8144823,4.4054379
